episode_id,block_id,model,state_label,offload_gb,concurrency,condition,repeat,order_in_block,victim_workload_seed,burst_workload_seed,victim_median_tpot_ms,victim_p95_tpot_ms,victim_itl_complete,victim_itl_available_request_count,victim_median_itl_ms,victim_p95_itl_ms,victim_itl_iqr_ms,victim_median_ttft_ms,victim_p95_ttft_ms,victim_median_e2el_ms,victim_p95_e2el_ms,victim_goodput_tokens_per_s,victim_success_rate,victim_timeout_rate,victim_failure_rate,victim_complete_output_tokens,burst_request_count,burst_output_tokens,trigger_waited_ms
llama_off12_conc4_fixed_burst_rep1,llama_block02_high,llama,high,12,4,fixed_burst,1,1,770375562,957757185,1438.1313312380953,1537.4163628753968,True,20,1402.5752235,1404.3111166,2.0220904999998766,10493.6798785,12724.74736525,101110.78216249999,103420.46286525,2.537864877507113,1.0,0.0,0.0,1280,4,1024,10068.74
llama_off12_conc4_fixed_burst_rep2,llama_block03_high,llama,high,12,4,fixed_burst,2,2,1689030126,332591840,1464.9213291269841,1567.9081377492064,True,20,1408.5150669999998,1410.2338074499999,2.195873749999919,8480.376721,11731.12452935,100474.8067515,104011.83240405,2.5388531121479594,1.0,0.0,0.0,1280,4,1024,8978.822745
llama_off12_conc4_fixed_burst_rep3,llama_block06_high,llama,high,12,4,fixed_burst,3,2,43940883,1004375871,1471.4600182460317,1575.6377412555557,True,20,1416.184941,1417.95245135,2.1860062499999913,8526.565678,11786.01806205,101011.69657100001,104537.28587165,2.526418212866469,1.0,0.0,0.0,1280,4,1024,9031.117892
llama_off12_conc4_fixed_burst_rep4,llama_block07_high,llama,high,12,4,fixed_burst,4,1,1728461764,2122677335,1450.614684015873,1550.2360167230158,True,20,1415.0889845000002,1417.00554735,2.202378250000038,10551.673388,12832.274042500001,101989.3474875,104298.5278202,2.5167270724494033,1.0,0.0,0.0,1280,4,1024,10169.576459
llama_off12_conc4_fixed_burst_rep5,llama_block10_high,llama,high,12,4,fixed_burst,5,2,626585083,71722319,1470.0774904126984,1574.34700875873,True,20,1414.636377,1416.4891765,2.0907099999999446,8518.150363,11776.542374550001,100905.604036,104444.8059838,2.5288689504397905,1.0,0.0,0.0,1280,4,1024,9018.744686
llama_off12_conc4_no_burst_rep1,llama_block02_high,llama,high,12,4,no_burst,1,4,770375562,957757185,1425.5290248650792,1455.4868268095238,True,20,1395.81707,1397.4335645499998,1.1125589999999193,7768.8822965,10326.20119155,98255.84485250001,98276.8820277,2.6124033382436855,1.0,0.0,0.0,1280,0,0,8936.244085
llama_off12_conc4_no_burst_rep2,llama_block03_high,llama,high,12,4,no_burst,2,4,1689030126,332591840,1431.9829982619049,1461.9655786349208,True,20,1402.2724915,1404.0135790000002,1.4976322500001515,7793.1838575,10378.1539328,97314.025395,98719.31464834999,2.6153886133427795,1.0,0.0,0.0,1280,0,0,8986.066995
llama_off12_conc4_no_burst_rep3,llama_block06_high,llama,high,12,4,no_burst,3,3,43940883,1004375871,1436.7775956587302,1466.8734404357144,True,20,1406.8892915000001,1408.26489965,1.2843100000002323,7845.003060499999,10426.345917,99049.630403,99062.02025885,2.5915846112468155,1.0,0.0,0.0,1280,0,0,9035.697765
llama_off12_conc4_no_burst_rep4,llama_block07_high,llama,high,12,4,no_burst,4,2,1728461764,2122677335,1441.0276868968253,1441.2323362380955,True,20,1405.701664,1407.3783845500002,1.2130332500000804,7054.191010500001,10158.65399155,97842.711332,97854.9574746,2.6161162460539304,1.0,0.0,0.0,1280,0,0,10170.241829
llama_off12_conc4_no_burst_rep5,llama_block10_high,llama,high,12,4,no_burst,5,1,626585083,71722319,1435.7403672619048,1465.811540715873,True,20,1405.783986,1407.302322,1.3266927499998928,7835.870916,10414.396878500002,98967.0228755,98983.9809349,2.5936139958628597,1.0,0.0,0.0,1280,0,0,9024.505255
llama_off0_conc4_fixed_burst_rep1,llama_block01_low,llama,low,0,4,fixed_burst,1,1,770375562,957757185,20.929508634920637,24.25770306587302,True,20,20.889117,21.090419,0.3239015000000016,279.3799085,299.9216339,1611.748017,1783.922207,155.857485555608,1.0,0.0,0.0,1280,4,1024,236.673834
llama_off0_conc4_fixed_burst_rep2,llama_block04_low,llama,low,0,4,fixed_burst,2,2,1689030126,332591840,22.659025595238095,26.04604850873016,True,20,20.9119065,21.09124905,0.21074424999999763,248.253597,283.01257975,1602.464609,1795.58017065,156.8935705508145,1.0,0.0,0.0,1280,4,1024,250.689558
llama_off0_conc4_fixed_burst_rep3,llama_block05_low,llama,low,0,4,fixed_burst,3,2,43940883,1004375871,20.958109785714285,24.453860894444446,True,20,20.899116499999998,21.228591050000002,0.3263940000000005,270.3708775,320.39484195,1628.6503705,1806.7047178999999,154.8037812940039,1.0,0.0,0.0,1280,4,1024,255.400218
llama_off0_conc4_fixed_burst_rep4,llama_block08_low,llama,low,0,4,fixed_burst,4,1,1728461764,2122677335,20.935671579365078,25.49630658253968,True,20,20.897222499999998,21.11471245,0.3062832499999999,280.86053100000004,299.00158235,1608.402072,1814.2676157,155.49501379599806,1.0,0.0,0.0,1280,4,1024,280.330611
llama_off0_conc4_fixed_burst_rep5,llama_block09_low,llama,low,0,4,fixed_burst,5,2,626585083,71722319,22.662002174603174,26.046966200793655,True,20,20.9224675,21.079538,0.21700425000000223,248.8343795,283.36816375,1600.9225529999999,1794.30705565,156.88087210604317,1.0,0.0,0.0,1280,4,1024,249.759312
llama_off0_conc4_no_burst_rep1,llama_block01_low,llama,low,0,4,no_burst,1,4,770375562,957757185,20.430954984126984,23.09639926190476,True,20,20.436419,20.64426255,0.10086550000000116,260.001159,273.38239525,1553.275138,1570.2867459,164.1261658450071,1.0,0.0,0.0,1280,0,0,267.596285
llama_off0_conc4_no_burst_rep2,llama_block04_low,llama,low,0,4,no_burst,2,4,1689030126,332591840,21.31034688095238,22.193393763492065,True,20,20.4416365,20.606419499999998,0.10127050000000182,205.93015400000002,266.81261655,1547.098133,1561.0148047500002,164.56933080851974,1.0,0.0,0.0,1280,0,0,250.315187
llama_off0_conc4_no_burst_rep3,llama_block05_low,llama,low,0,4,no_burst,3,3,43940883,1004375871,21.310733626984124,22.191924124603176,True,20,20.439588,20.62990805,0.10527524999999827,207.138824,266.8051125,1547.9961655,1557.6540043,164.49416602118566,1.0,0.0,0.0,1280,0,0,251.411816
llama_off0_conc4_no_burst_rep4,llama_block08_low,llama,low,0,4,no_burst,4,2,1728461764,2122677335,20.427556142857142,23.09224070396825,True,20,20.433414,20.689373500000002,0.08370450000000318,260.6315925,269.5576583,1551.440071,1569.7134085500002,164.33500140365393,1.0,0.0,0.0,1280,0,0,255.014147
llama_off0_conc4_no_burst_rep5,llama_block09_low,llama,low,0,4,no_burst,5,1,626585083,71722319,21.286938499999998,22.178840796031746,True,20,20.421602999999998,20.560426,0.08039700000000138,196.86691150000001,267.16802095,1541.9013745,1558.60394925,165.3287749207281,1.0,0.0,0.0,1280,0,0,261.008394
llama_off12_conc8_fixed_burst_rep1,llama_block02_high,llama,high,12,8,fixed_burst,1,3,169989327,612027693,1516.6648317460317,1662.8008814031746,True,20,1417.27788,1419.1305,2.2268412500000068,14911.2477915,19725.2476245,109035.604154,112671.1183947,3.9649177742861856,1.0,0.0,0.0,1280,4,1024,17085.830924
llama_off12_conc8_fixed_burst_rep2,llama_block03_high,llama,high,12,8,fixed_burst,2,3,1578732985,1927525260,1466.0688058015874,1644.1129703920633,True,20,1422.5796775,1424.0040764999999,1.761663500000168,19350.3401665,20072.01793595,109725.96522499999,115264.16263355,3.9202940931796992,1.0,0.0,0.0,1280,4,1024,19323.13612
llama_off12_conc8_fixed_burst_rep3,llama_block06_high,llama,high,12,8,fixed_burst,3,1,2054701891,740328672,1503.9767342539683,1715.5711137023811,True,20,1432.377291,1434.10168345,1.9493379999998979,16897.6607715,19636.5170705,109904.7879695,113413.56331015,3.9464489441484267,1.0,0.0,0.0,1280,4,1024,16883.490045
llama_off12_conc8_fixed_burst_rep4,llama_block07_high,llama,high,12,8,fixed_burst,4,3,301450038,699461387,1473.8033716349205,1653.1413728626985,True,20,1431.054498,1432.71664,2.1686792499999683,19417.519931000003,20129.498219250003,110314.6501095,115871.83614105001,3.9005856906153653,1.0,0.0,0.0,1280,4,1024,19393.884958
llama_off12_conc8_fixed_burst_rep5,llama_block10_high,llama,high,12,8,fixed_burst,5,3,400133388,2048291157,1502.1535532619046,1713.746600527778,True,20,1430.2085339999999,1431.75549445,1.859350749999976,16889.468072,19638.996005150002,109771.0839995,113269.7476496,3.9511227566091254,1.0,0.0,0.0,1280,4,1024,16876.053021
llama_off12_conc8_no_burst_rep1,llama_block02_high,llama,high,12,8,no_burst,1,2,169989327,612027693,1402.749073126984,1586.6736944904762,True,20,1402.4837465,1404.26076235,2.08584924999991,16803.8774835,18147.468309199998,105181.07659,106530.32685905,4.129197543062289,1.0,0.0,0.0,1280,0,0,16782.01693
llama_off12_conc8_no_burst_rep2,llama_block03_high,llama,high,12,8,no_burst,2,1,1578732985,1927525260,1408.86701315873,1593.4216007452383,True,20,1408.5700434999999,1410.296646,1.8648459999997158,16864.9613235,18247.912280200002,105630.8228945,107008.18770055,4.110776145219533,1.0,0.0,0.0,1280,0,0,16850.299693
llama_off12_conc8_no_burst_rep3,llama_block06_high,llama,high,12,8,no_burst,3,4,2054701891,740328672,1416.3651971031745,1620.3930296555557,True,20,1416.186882,1417.7110795,1.9829432500002895,19398.4427745,19883.19146715,108650.64915000001,109120.91447814999,4.012898387714733,1.0,0.0,0.0,1280,0,0,19374.488843
llama_off12_conc8_no_burst_rep4,llama_block07_high,llama,high,12,8,no_burst,4,4,301450038,699461387,1415.4798126825397,1600.4737332309523,True,20,1415.1244685000001,1416.9241508,1.993171749999874,16931.407993499997,18297.54545235,106114.7278445,107481.83897825,4.0948877974185915,1.0,0.0,0.0,1280,0,0,16916.889081
llama_off12_conc8_no_burst_rep5,llama_block10_high,llama,high,12,8,no_burst,5,4,400133388,2048291157,1414.8448847857144,1618.5549888309522,True,20,1414.4882495,1416.3545980499998,1.8757687499999065,19379.532793,19862.5808151,108527.902707,109009.5094922,4.01698889190971,1.0,0.0,0.0,1280,0,0,19355.224635
llama_off0_conc8_fixed_burst_rep1,llama_block01_low,llama,low,0,8,fixed_burst,1,3,169989327,612027693,22.947772087301587,28.270763976190477,True,20,22.291660999999998,22.77689905,0.4957662499999991,480.480946,522.12808605,1936.7650374999998,2132.2270147,225.31140469668279,1.0,0.0,0.0,1280,4,1024,456.649082
llama_off0_conc8_fixed_burst_rep2,llama_block04_low,llama,low,0,8,fixed_burst,2,3,1578732985,1927525260,24.198888174603177,30.70260442142857,True,20,22.288777000000003,22.842754,0.4247630000000022,475.10121,510.6711109,1920.1062565,2114.7365406999998,226.57563815515712,1.0,0.0,0.0,1280,4,1024,461.80095
llama_off0_conc8_fixed_burst_rep3,llama_block05_low,llama,low,0,8,fixed_burst,3,1,2054701891,740328672,22.944520523809523,28.202271597619053,True,20,22.262242,22.701131949999997,0.41710224999999923,490.4067605,519.0208874000001,1933.5293,2137.5727302,224.95421484896994,1.0,0.0,0.0,1280,4,1024,463.291822
llama_off0_conc8_fixed_burst_rep4,llama_block08_low,llama,low,0,8,fixed_burst,4,3,301450038,699461387,24.20870208730159,30.686154451587303,True,20,22.2834165,22.77842305,0.4672330000000038,475.4576755,509.10470625,1918.278264,2114.2592572,226.48375001733154,1.0,0.0,0.0,1280,4,1024,461.820956
llama_off0_conc8_fixed_burst_rep5,llama_block09_low,llama,low,0,8,fixed_burst,5,3,400133388,2048291157,22.972838936507937,28.264283817460317,True,20,22.299552,22.61322645,0.24683450000000207,484.2157755,520.9444211,1931.3495245,2128.9199335,224.8446168809274,1.0,0.0,0.0,1280,4,1024,458.721378
llama_off0_conc8_no_burst_rep1,llama_block01_low,llama,low,0,8,no_burst,1,2,169989327,612027693,20.867308968253965,25.914267202380955,True,20,20.849341000000003,21.08933445,0.19288249999999607,454.2245345,492.69632935,1787.1191680000002,1824.60835985,247.79107032690953,1.0,0.0,0.0,1280,0,0,461.725133
llama_off0_conc8_no_burst_rep2,llama_block04_low,llama,low,0,8,no_burst,2,1,1578732985,1927525260,21.479783365079363,26.081730576984125,True,20,20.8491295,21.01437555,0.17087250000000154,480.50010599999996,505.35174945,1822.319954,1901.55540225,243.38457466666856,1.0,0.0,0.0,1280,0,0,464.428514
llama_off0_conc8_no_burst_rep3,llama_block05_low,llama,low,0,8,no_burst,3,4,2054701891,740328672,20.893764984126985,25.99049290793651,True,20,20.893496,21.1323415,0.2941807499999989,456.753497,495.54677595000004,1789.1081884999999,1829.57634525,247.03170157150788,1.0,0.0,0.0,1280,0,0,465.538773
llama_off0_conc8_no_burst_rep4,llama_block08_low,llama,low,0,8,no_burst,4,4,301450038,699461387,20.878986436507937,25.946669357936507,True,20,20.873916,21.18519895,0.22575349999999972,451.9143665,494.73856920000003,1791.7249245,1820.9473241500002,247.32963038392631,1.0,0.0,0.0,1280,0,0,463.469842
llama_off0_conc8_no_burst_rep5,llama_block09_low,llama,low,0,8,no_burst,5,4,400133388,2048291157,20.879808277777776,26.687178574603173,True,20,20.871071,21.178735,0.37884099999999776,453.159213,491.761278,1785.0991465,1816.0929546,248.01202180767925,1.0,0.0,0.0,1280,0,0,459.87153
qwen_off12_conc4_fixed_burst_rep1,qwen_block02_high,qwen,high,12,4,fixed_burst,1,1,1404559298,59799320,1557.9582453650792,1679.4889982761906,True,20,1492.4682094999998,1494.31546355,1.9091597500000717,9194.1045095,12992.650941,107036.12730650001,111200.35035894999,2.3827524329399217,1.0,0.0,0.0,1280,4,1024,9649.83877
qwen_off12_conc4_fixed_burst_rep2,qwen_block03_high,qwen,high,12,4,fixed_burst,2,3,576258880,538448969,1559.705165920635,1681.472989852381,True,20,1493.6954555,1495.5399568999999,2.353095750000193,9212.6789145,13009.54204635,107127.5569845,111358.52924485,2.380084849791126,1.0,0.0,0.0,1280,4,1024,9672.214335
qwen_off12_conc4_fixed_burst_rep3,qwen_block06_high,qwen,high,12,4,fixed_burst,3,4,1895170950,20537949,1560.6433304126986,1682.2909289515874,True,20,1494.858861,1496.7120301999998,2.0716882500000793,9216.4679235,13017.51956565,107214.73366900001,111405.3198425,2.378566855717901,1.0,0.0,0.0,1280,4,1024,9678.749062
qwen_off12_conc4_fixed_burst_rep4,qwen_block07_high,qwen,high,12,4,fixed_burst,4,4,371908190,989155644,1559.1655988333334,1680.9834540968257,True,20,1493.9015755,1495.76220565,1.9511270000000422,9202.0068555,12998.7883073,107127.6982435,111313.5685199,2.3806952859264756,1.0,0.0,0.0,1280,4,1024,9661.896534
qwen_off12_conc4_fixed_burst_rep5,qwen_block10_high,qwen,high,12,4,fixed_burst,5,3,1634200663,1520872059,1558.2919715396824,1679.5328048579365,True,20,1492.2159824999999,1494.200961,2.149061999999958,9210.896370999999,13027.261038300001,107052.985451,111208.04805,2.3823239031162493,1.0,0.0,0.0,1280,4,1024,9662.396707
qwen_off12_conc4_no_burst_rep1,qwen_block02_high,qwen,high,12,4,no_burst,1,4,1404559298,59799320,1521.9485528650794,1555.9888266714286,True,20,1488.1094345,1489.9511,1.3153199999999288,8258.221906,11130.512263,104867.6956675,104885.76836265001,2.4476806100020476,1.0,0.0,0.0,1280,0,0,9648.685498
qwen_off12_conc4_no_burst_rep2,qwen_block03_high,qwen,high,12,4,no_burst,2,1,576258880,538448969,1490.2296561111111,1598.4386431238092,True,20,1490.104968,1491.76003105,1.3398942499998157,13209.3941475,13226.5636916,107088.57667899999,107119.97493385,2.3968184781262587,1.0,0.0,0.0,1280,0,0,11725.184499
qwen_off12_conc4_no_burst_rep3,qwen_block06_high,qwen,high,12,4,no_burst,3,1,1895170950,20537949,1524.9632539841268,1558.9661958111112,True,20,1491.049639,1492.7792196999999,1.3148322500001086,8290.9070885,11165.66563915,105095.144451,105104.54412230001,2.4425377879155357,1.0,0.0,0.0,1280,0,0,9685.214643
qwen_off12_conc4_no_burst_rep4,qwen_block07_high,qwen,high,12,4,no_burst,4,3,371908190,989155644,1489.2705869523809,1597.2149073261905,True,20,1489.2319029999999,1491.0054183,1.3026600000000599,13193.3349595,13208.77562685,107023.3815185,107047.55088339999,2.39839837890697,1.0,0.0,0.0,1280,0,0,11708.972538
qwen_off12_conc4_no_burst_rep5,qwen_block10_high,qwen,high,12,4,no_burst,5,1,1634200663,1520872059,1488.3678673333332,1595.8151969468254,True,20,1488.3520825,1490.2246970499998,1.2798757499999738,11689.759825000001,13178.13116705,106926.3312435,106955.15620775,2.4129562591683356,1.0,0.0,0.0,1280,0,0,10348.730706
qwen_off0_conc4_fixed_burst_rep1,qwen_block01_low,qwen,low,0,4,fixed_burst,1,1,1404559298,59799320,19.493061198412697,22.876123903968256,True,20,19.4589115,19.8294245,0.26705274999999773,263.8941575,291.70088665000003,1508.5025735,1695.9094013,166.05375764181355,1.0,0.0,0.0,1280,4,1024,250.291304
qwen_off0_conc4_fixed_burst_rep2,qwen_block04_low,qwen,low,0,4,fixed_burst,2,3,576258880,538448969,19.517713706349205,24.45497008015873,True,20,19.469051,19.754366,0.21662325000000138,266.733381,287.391488,1511.391016,1684.3721537000001,166.08240293771175,1.0,0.0,0.0,1280,4,1024,239.85953
qwen_off0_conc4_fixed_burst_rep3,qwen_block05_low,qwen,low,0,4,fixed_burst,3,4,1895170950,20537949,19.539458666666665,24.50252224126984,True,20,19.502053500000002,19.704327,0.21794099999999617,251.3662615,293.162558,1513.0843005000002,1692.6668257,165.81705178854074,1.0,0.0,0.0,1280,4,1024,241.859948
qwen_off0_conc4_fixed_burst_rep4,qwen_block08_low,qwen,low,0,4,fixed_burst,4,4,371908190,989155644,21.013151682539682,24.48630153809524,True,20,19.480092,19.859977,0.2726322500000009,204.7651255,268.7600518,1495.9868445,1685.8854736,166.89500365302325,1.0,0.0,0.0,1280,4,1024,240.334313
qwen_off0_conc4_fixed_burst_rep5,qwen_block09_low,qwen,low,0,4,fixed_burst,5,3,1634200663,1520872059,19.515867515873015,22.95203185238095,True,20,19.487993000000003,19.803978,0.23807749999999928,252.073037,294.4176194,1511.6105539999999,1689.3109927,165.9599997604834,1.0,0.0,0.0,1280,4,1024,237.222643
qwen_off0_conc4_no_burst_rep1,qwen_block01_low,qwen,low,0,4,no_burst,1,4,1404559298,59799320,20.009022253968254,20.85046962222222,True,20,19.1808685,19.388523550000002,0.13478050000000152,198.6868795,256.09626149999997,1458.3054115,1465.5968015,174.64421514260246,1.0,0.0,0.0,1280,0,0,240.75407
qwen_off0_conc4_no_burst_rep2,qwen_block04_low,qwen,low,0,4,no_burst,2,1,576258880,538448969,19.14288816666667,21.488258692857144,True,20,19.124350999999997,19.409701,0.13081800000000143,239.1216275,265.9511282,1454.8914479999999,1482.51614815,175.2374187225664,1.0,0.0,0.0,1280,0,0,253.978615
qwen_off0_conc4_no_burst_rep3,qwen_block05_low,qwen,low,0,4,no_burst,3,1,1895170950,20537949,19.157850952380954,21.49454116428571,True,20,19.133423,19.39476045,0.1655824999999993,239.4702225,256.521088,1457.0803565,1484.925594,174.77454501513444,1.0,0.0,0.0,1280,0,0,270.384071
qwen_off0_conc4_no_burst_rep4,qwen_block08_low,qwen,low,0,4,no_burst,4,3,371908190,989155644,19.161055626984126,21.509373844444447,True,20,19.160342999999997,19.42084555,0.1244732500000012,239.5563105,251.4567255,1454.728211,1465.00637355,175.27504404680684,1.0,0.0,0.0,1280,0,0,236.04254
qwen_off0_conc4_no_burst_rep5,qwen_block09_low,qwen,low,0,4,no_burst,5,1,1634200663,1520872059,19.156752404761903,21.48187184047619,True,20,19.133557000000003,19.374898950000002,0.13773899999999983,235.5484045,256.93554485,1452.7295815,1467.9036881499999,175.44212019427206,1.0,0.0,0.0,1280,0,0,250.329327
qwen_off12_conc8_fixed_burst_rep1,qwen_block02_high,qwen,high,12,8,fixed_burst,1,2,771501200,1349399873,1590.8361920158732,1808.119831270635,True,20,1502.1072199999999,1504.0764095,1.9606900000001133,17203.642233,20523.0866949,115192.97598250001,119366.4786716,3.7469092487670586,1.0,0.0,0.0,1280,4,1024,17182.989572
qwen_off12_conc8_fixed_burst_rep2,qwen_block03_high,qwen,high,12,8,fixed_burst,2,2,173643620,1806101552,1592.9805060793651,1811.9053281642855,True,20,1504.847432,1506.3007029999999,1.782899000000043,17277.21126,20555.45740975,115381.54660599999,119626.07311314999,3.741163692911094,1.0,0.0,0.0,1280,4,1024,17258.701749
qwen_off12_conc8_fixed_burst_rep3,qwen_block06_high,qwen,high,12,8,fixed_burst,3,3,1958073086,1448403709,1554.6582338968253,1740.6026119007936,True,20,1505.957442,1507.6090725,1.8316540000000714,19358.8625125,21294.92241595,116207.7557735,121772.62758875,3.700776425445281,1.0,0.0,0.0,1280,4,1024,19335.107277
qwen_off12_conc8_fixed_burst_rep4,qwen_block07_high,qwen,high,12,8,fixed_burst,4,1,1025339658,1072855526,1592.1675124126984,1810.2266908880952,True,20,1503.43464,1505.171826,2.058799999999792,17244.264899499998,20524.16505705,115272.30466349999,119511.1483691,3.743925603869712,1.0,0.0,0.0,1280,4,1024,17223.602953
qwen_off12_conc8_fixed_burst_rep5,qwen_block10_high,qwen,high,12,8,fixed_burst,5,4,1770453180,1178547048,1591.3362054841268,1809.1634013658731,True,20,1503.2549840000001,1504.69908885,1.9599857500002145,17204.570799499998,20554.95598785,115279.3148195,119435.6315017,3.74513008480013,1.0,0.0,0.0,1280,4,1024,17188.921517
qwen_off12_conc8_no_burst_rep1,qwen_block02_high,qwen,high,12,8,no_burst,1,3,771501200,1349399873,1492.7661471904762,1720.2350286579365,True,20,1492.4577319999999,1494.0770416999999,1.864286749999792,19298.010276,20767.29035655,113354.42201000001,114828.26459199999,3.8198736261125594,1.0,0.0,0.0,1280,0,0,19274.15607
qwen_off12_conc8_no_burst_rep2,qwen_block03_high,qwen,high,12,8,no_burst,2,4,173643620,1806101552,1494.2192573571429,1681.7589003666665,True,20,1493.827235,1495.68053055,2.165629249999938,17242.8335005,18720.86227155,111385.71083,112856.72370595,3.8871454481207883,1.0,0.0,0.0,1280,0,0,17227.441144
qwen_off12_conc8_no_burst_rep3,qwen_block06_high,qwen,high,12,8,no_burst,3,2,1958073086,1448403709,1495.2170992936508,1682.8993971190475,True,20,1494.990382,1496.602725,1.9292512500001067,17241.667794,18724.90409075,111450.436818,112928.5406735,3.884731509568829,1.0,0.0,0.0,1280,0,0,17224.208738
qwen_off12_conc8_no_burst_rep4,qwen_block07_high,qwen,high,12,8,no_burst,4,2,1025339658,1072855526,1493.9294335873017,1681.760079302381,True,20,1493.5883724999999,1495.4714680000002,2.040342750000036,17258.601546500002,18679.1951234,111386.4253265,112803.9527048,3.8887550706072638,1.0,0.0,0.0,1280,0,0,17243.556967
qwen_off12_conc8_no_burst_rep5,qwen_block10_high,qwen,high,12,8,no_burst,5,2,1770453180,1178547048,1492.5167222142857,1720.0875165984125,True,20,1492.1936660000001,1493.8807657500001,1.7503469999999197,19295.35932,20749.410332850002,113327.18029300001,114794.090958,3.8199442386981612,1.0,0.0,0.0,1280,0,0,19269.492106
qwen_off0_conc8_fixed_burst_rep1,qwen_block01_low,qwen,low,0,8,fixed_burst,1,2,771501200,1349399873,20.8882011031746,25.725756052380955,True,20,19.902834,20.191302,0.2832752499999991,469.30179350000003,501.0874157,1753.3818,1965.68655785,244.56343653398238,1.0,0.0,0.0,1280,4,1024,450.694231
qwen_off0_conc8_fixed_burst_rep2,qwen_block04_low,qwen,low,0,8,fixed_burst,2,2,173643620,1806101552,22.197978031746032,27.89529487777778,True,20,19.8616315,20.436679599999998,0.31582649999999646,454.278507,490.93373675,1747.0510669999999,1944.550788,246.24166279715368,1.0,0.0,0.0,1280,4,1024,435.417878
qwen_off0_conc8_fixed_burst_rep3,qwen_block05_low,qwen,low,0,8,fixed_burst,3,3,1958073086,1448403709,22.213316349206348,27.941460011904763,True,20,19.882458999999997,20.3775705,0.314645500000001,452.5070315,491.90474265,1753.7195005,1939.28677005,246.0219540681417,1.0,0.0,0.0,1280,4,1024,437.853276
qwen_off0_conc8_fixed_burst_rep4,qwen_block08_low,qwen,low,0,8,fixed_burst,4,1,1025339658,1072855526,22.17266003968254,28.022996113492063,True,20,19.841272500000002,20.3480985,0.2843130000000045,453.597307,490.7616834,1724.0484935,1952.6118861999998,245.38927033486854,1.0,0.0,0.0,1280,4,1024,458.236685
qwen_off0_conc8_fixed_burst_rep5,qwen_block09_low,qwen,low,0,8,fixed_burst,5,4,1770453180,1178547048,22.261735055555555,27.950567697619046,True,20,19.926705,20.2312515,0.22095700000000207,448.93760050000003,480.9683933,1736.5563244999998,1954.6412864,246.1318416832014,1.0,0.0,0.0,1280,4,1024,438.128066
qwen_off0_conc8_no_burst_rep1,qwen_block01_low,qwen,low,0,8,no_burst,1,3,771501200,1349399873,19.506700936507936,25.185695827777778,True,20,19.4928925,19.709241549999998,0.2155357500000008,446.128805,488.5804136,1686.0447955,1737.8016079000001,262.16669442424813,1.0,0.0,0.0,1280,0,0,450.63706
qwen_off0_conc8_no_burst_rep2,qwen_block04_low,qwen,low,0,8,no_burst,2,4,173643620,1806101552,19.490794206349207,24.210875945238097,True,20,19.4827765,19.7179085,0.21770599999999973,425.291828,469.1277089,1674.1732905,1704.8994672,263.58030048459847,1.0,0.0,0.0,1280,0,0,438.149641
qwen_off0_conc8_no_burst_rep3,qwen_block05_low,qwen,low,0,8,no_burst,3,2,1958073086,1448403709,19.48812961904762,24.264276465873017,True,20,19.469602000000002,19.726807,0.12513624999999706,450.7547615,478.4532644,1692.9548465,1713.8638181000001,260.3522539024434,1.0,0.0,0.0,1280,0,0,437.756772
qwen_off0_conc8_no_burst_rep4,qwen_block08_low,qwen,low,0,8,no_burst,4,2,1025339658,1072855526,19.47911196031746,24.233121480952384,True,20,19.455136500000002,19.754324,0.24791275000000113,426.2454445,471.00277520000003,1677.5830839999999,1711.5072925,264.1885203890606,1.0,0.0,0.0,1280,0,0,436.708288
qwen_off0_conc8_no_burst_rep5,qwen_block09_low,qwen,low,0,8,no_burst,5,2,1770453180,1178547048,19.488568404761907,24.208101002380953,True,20,19.472706000000002,19.702244049999997,0.25311950000000394,427.71602900000005,470.48437190000004,1674.824286,1710.6672124000002,263.54022913771644,1.0,0.0,0.0,1280,0,0,437.263533
