model,offload_gb,n_runs,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_ttft_ms_ratio_vs_offload0,median_ttft_ms_pct_change_vs_offload0,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_tpot_ms_ratio_vs_offload0,median_tpot_ms_pct_change_vs_offload0,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_itl_ms_ratio_vs_offload0,median_itl_ms_pct_change_vs_offload0,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,median_e2el_ms_ratio_vs_offload0,median_e2el_ms_pct_change_vs_offload0,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,output_throughput_ratio_vs_offload0
llama,0,90,90,62.423341499197704,28.003399424687814,89.74060214959536,27.623086998573854,90.2532695017726,1.0,0.0,90,20.707367588804097,19.47134246483145,22.663765173496813,19.458124112955584,22.71752940159929,1.0,0.0,90,20.659137499023927,19.46264307589445,22.56246854985875,19.444028999714646,22.63059550023172,1.0,0.0,90,1367.7243602505769,650.2554402489295,2951.2587953000548,631.1074209988874,2973.8847610005905,1.0,0.0,90,246.13718031955045,50.793181531051445,453.3626284187388,50.61756337431552,454.1935261756432,1.0
llama,2,90,90,578.2521022501896,258.54391774846596,637.2081319741483,257.90793299893267,754.9970620020758,9.263395524214634,826.3395524214634,90,252.19756172185959,107.03135961347948,257.620142051882,107.00088716135548,257.7004938464698,12.179122268453662,1117.9122268453661,90,252.18700399818772,107.02201609747135,257.5205988248854,107.01004700240446,257.59608049702365,12.207044171621526,1120.7044171621526,90,16228.541991251404,5118.43903694844,33304.44168167578,3575.9751825025887,33350.73017749892,11.865360055646168,1086.5360055646167,90,20.454766059340898,7.920400083326215,38.81617887270232,7.881922921034301,38.8586371685678,0.08310311360837587
llama,4,90,90,1074.593715249648,490.0794381246669,1448.3159862978937,489.2254159967706,1453.3917285007192,17.214613787752125,1621.4613787752126,90,484.8503016041224,195.0444074009365,493.5598307973128,195.0173631451053,493.8327393064092,23.414386185246823,2241.438618524682,90,484.8345527498168,195.03299887346657,493.4088342502946,195.0206350011285,493.5002109959896,23.468286261840483,2246.828626184048,90,31117.0693032509,9345.212205125608,63783.318546000926,6535.289835497679,63842.78083299796,22.750979808204946,2175.0979808204947,90,10.696069682516713,4.11996418713887,20.236775312505713,4.109215208549433,20.256888153462555,0.043455725253008975
llama,8,90,90,2051.516298244678,948.4303194047244,2828.5927776458266,948.0418254970572,2847.537491499679,32.86457035099676,3186.4570350996755,90,945.092741084658,364.70765895488336,959.4824363524417,364.7008989515128,959.6237153621868,45.64040972526337,4464.040972526337,90,945.0183410008322,364.6867969273444,959.3324981007754,364.6786204990349,959.4797809913872,45.743358891216104,4474.33588912161,90,60741.884128750826,17506.56994164783,123961.61168665203,12254.097151497264,124054.16595150018,44.410910483178405,4341.09104831784,90,5.4944676617112265,2.116587960812933,10.403368469264294,2.1074029928700244,10.408390330190327,0.02232278623886879
llama,12,90,90,3039.50126075506,1410.828872174534,3374.2648563951666,1410.4654085022048,4230.362917500315,48.69174234759805,4769.174234759805,90,1409.2500188304375,539.4669111408282,1430.2245073487256,539.4625940196736,1430.3559143229522,68.05548859780613,6705.548859780613,90,1408.9690059918212,539.4185922250472,1429.9357406758647,539.4129784981487,1430.216376495082,68.20076617711607,6720.076617711607,90,90281.88215573755,25903.645448126557,184778.23146392475,18134.751290504937,184902.72006750456,66.00882807936335,6500.882807936336,90,3.6750312255478104,1.4202736173002488,6.974674110378026,1.416266720852024,6.98265122834105,0.014930825244591892
llama,16,90,90,3255.4465247449116,1509.8554523166968,3612.4582096941595,1508.8805679988582,4533.291978514171,52.1511096099646,5115.11096099646,90,1507.1877277896708,580.1211349130682,1528.9445821658155,580.1011981450082,1529.2747885872063,72.78509551376128,7178.509551376128,90,1507.0420882475446,580.0713474505756,1528.5914768304792,580.062598499353,1528.797251492506,72.9479673736983,7194.79673736983,90,96833.12940500764,27847.685318045118,197331.60737378243,19492.197780506103,197423.2273880043,70.79871662684074,6979.871662684074,90,3.42367917428706,1.3268629349553809,6.530718932496289,1.3220198197986026,6.543997744681215,0.013909638396938767
qwen,0,90,90,65.23052799821016,27.64477377313597,121.53989762591664,27.16228650388075,124.8945055049262,1.0,0.0,90,19.63616009673006,19.181968428816877,20.420112223580972,19.14607560320292,20.489330807121885,1.0,0.0,90,19.579495245125145,19.145648199992138,20.347242046773317,19.133217007038184,20.436742997844703,1.0,0.0,90,1292.448922748008,639.3123586007277,2700.2781563744065,631.7930235018139,2724.010345496936,1.0,0.0,90,259.90466415949817,50.715945124223005,488.4673725273962,50.0455277302614,489.6164876012907,1.0
qwen,2,90,90,844.21857225243,291.39094162601396,1302.4215597506554,290.68496800755383,1303.518021493801,12.942077860777001,1194.2077860777001,90,279.67213329766565,276.96956324788783,281.60021198239093,276.74074690308305,281.6462146191274,14.242709975879576,1324.2709975879575,90,279.61899349975283,276.8735509758699,281.46695149553125,276.83947849436663,281.5029810008127,14.281215628853952,1328.1215628853952,90,18412.96864299511,9056.846500851316,36910.996482497285,8978.911512997001,37030.85744900454,14.246573554214748,1324.657355421475,90,18.30109890325461,3.5646089400486693,35.04470312626676,3.5623826514096737,35.0961213351796,0.07041466132375215
qwen,4,90,90,1646.0946902479918,493.07787279612967,2555.9028321720693,452.2062079995521,2557.1200385020347,25.235035508116052,2423.5035508116052,90,546.0106261238711,540.9219443170288,548.24453414135,540.403327209905,548.2983170323648,27.806384926286906,2680.6384926286905,90,545.5161624959146,540.8103302463132,548.2249279761163,540.7885369932046,548.2395284998347,27.86160499371075,2686.160499371075,90,35947.1626634986,17553.018142348083,71983.4131563719,17217.479249498865,72146.76827600488,27.813217242711346,2681.3217242711344,90,9.385089781407716,1.823253584929448,17.950035117509927,1.822872500291394,18.00349879483595,0.036109739745371704
qwen,8,90,90,3076.7971110008148,1032.9205833497326,4787.05023290222,837.4122665027244,4789.100830003008,47.16805467349947,4616.805467349947,90,1020.0798646025289,1012.2401098067011,1026.8217297798406,1010.8765896289812,1026.872253543313,51.9490500982623,5094.90500982623,90,1019.4099752498005,1012.0082262507821,1026.763506475129,1011.8711209997856,1026.8047709996608,52.06518158345327,5106.518158345327,90,66862.73842174979,33416.92247494941,134127.2766992728,32863.64585750016,134800.17429049985,51.73337007360111,5073.337007360111,90,5.020400393425152,0.9737338983574344,9.631167414654476,0.9736427930896072,9.650899061970737,0.01931631511754724
qwen,12,90,90,4519.748092501686,1290.3223944245838,7024.916326853418,1222.3621660086792,7027.367223490728,69.28884728061226,6828.884728061226,90,1499.2342639302829,1487.1591797832145,1508.504554561222,1462.7882469513063,1508.5588167578774,76.35068447929109,7535.0684479291085,90,1498.292716249125,1487.0590184480534,1508.4075364989988,1486.973819002742,1508.4540850002668,76.52356189428154,7552.356189428154,90,98245.41572249655,48276.56014877721,197613.4678603281,47323.92039700062,198082.78045449697,76.01493103000689,7501.493103000689,90,3.417131954888735,0.6628642772056406,6.537300530294661,0.662810164375659,6.5568504472920495,0.01314763613780979
qwen,16,90,90,4510.888454997257,1505.8302661505195,7028.205944073852,1504.954923002515,7107.303452503402,69.15302686375664,6815.302686375664,90,1490.4934655353936,1479.2001033314932,1511.6874691834694,1477.1555385968015,1511.9163384762712,75.90554661364776,7490.554661364776,90,1489.4731499953195,1478.794052023477,1511.2799746744713,1478.7405995011795,1511.4793839966296,76.07311278191224,7507.311278191224,90,98249.40359799983,48303.12935519992,198596.00299744963,47997.02168649992,199079.17419400477,76.01801654884876,7501.801654884876,90,3.431280305874802,0.6666762798747187,6.504811949605038,0.6664502373012949,6.55016983665621,0.013202072833018092
