dataset_model,offload_gb,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0,model
llama,0,90,1800,0,90,62.4233414991977,28.003399424687814,89.74060214959536,27.623086998573854,90.2532695017726,90,20.707367588804093,19.47134246483145,22.663765173496817,19.458124112955584,22.71752940159929,90,20.659137499023927,19.462643075894448,22.56246854985875,19.444028999714646,22.63059550023172,90,1367.7243602505769,650.2554402489295,2951.2587953000548,631.1074209988874,2973.8847610005905,90,65.47265002318454,28.806879271878643,91.48044282017509,28.225159050998627,92.19033564932032,90,20.73649326076807,19.49627649261064,22.66737802021857,19.488362875390088,22.718193022835948,90,21.198722001645365,19.62531184910404,23.21762220293749,19.5847485012564,23.508849998688675,90,1373.895445750259,656.8604117109771,2953.157597244244,632.0337032500902,2975.7090941480783,90,3.247117753065708,0.5627803289764375,13.46441961811746,0.3991839914697327,13.604820667928704,90,246.13718031955045,50.793181531051445,453.3626284187388,50.61756337431552,454.1935261756432,90,1148.925916246684,198.37492791065347,3864.288430399711,152.88746873290765,3904.5835316955377,90,6.207842653999251,1.485396384798878,39.34381825170088,1.470067154001299,50.10220957599813,1.0,1.0,1.0,1.0,1.0,llama
llama,2,90,1800,0,90,578.2521022501896,258.5439177484659,637.2081319741483,257.90793299893267,754.9970620020758,90,252.1975617218596,107.03135961347948,257.620142051882,107.00088716135548,257.7004938464698,90,252.1870039981877,107.02201609747137,257.5205988248854,107.01004700240446,257.59608049702365,90,16228.541991251404,5118.43903694844,33304.44168167578,3575.9751825025887,33350.73017749892,90,619.8479574992235,260.5581387759776,759.0078490814813,259.77135420362174,762.5661206468067,90,252.41541035840336,107.05083598973197,257.621374504733,107.03990433382477,257.7016018027322,90,253.05138399780844,107.21878333444693,258.39285604828547,107.20403734885622,258.58001055312343,90,16238.101148023998,5141.400664580943,33306.22818681366,3577.969349900013,33352.472705346736,90,0.2912476713114876,0.0666585943689745,1.175793314886729,0.062009473973197,1.1764801422922604,90,20.454766059340898,7.920400083326216,38.81617887270232,7.881922921034301,38.8586371685678,90,98.12547292025997,25.53024164331724,337.45268137249127,23.74962853173445,337.6498008378788,90,68.7794589389996,17.009792240999378,301.70432845090386,16.999861944997974,322.5313604280018,12.179122268453664,12.207044171621526,9.263395524214634,11.865360055646168,0.0831031136083758,llama
llama,4,90,1800,0,90,1074.593715249648,490.0794381246669,1448.3159862978937,489.2254159967706,1453.3917285007192,90,484.8503016041224,195.0444074009365,493.5598307973128,195.0173631451053,493.8327393064092,90,484.8345527498168,195.03299887346657,493.4088342502946,195.0206350011285,493.5002109959896,90,31117.0693032509,9345.212205125608,63783.31854600092,6535.289835497679,63842.78083299796,90,1181.633249395418,492.2327005272382,1461.9078017321408,491.5473479457432,1463.9947866500734,90,484.97780866371966,195.06234912496512,493.5607868043412,195.0502659998869,493.8346434501117,90,485.86431582552905,195.29649759197127,494.4728031784871,195.2702529993985,494.7633770971152,90,31378.86285507084,9348.89100504217,63785.208605301086,6538.389548556006,63844.51133314651,90,0.1554466978436071,0.0355823035619626,0.6135480724436101,0.0322670777160025,0.6137439078834309,90,10.696069682516711,4.119964187138869,20.236775312505717,4.109215208549433,20.256888153462555,90,52.19200089323627,13.628022264231674,176.0882967913161,12.358290765228972,176.1445015625447,90,128.6933026045008,32.59728275860034,567.8238772585487,32.58688150400121,619.826814688,23.414386185246823,23.468286261840483,17.214613787752125,22.750979808204946,0.0434557252530089,llama
llama,8,90,1800,0,90,2051.516298244678,948.4303194047244,2828.5927776458266,948.0418254970572,2847.537491499679,90,945.092741084658,364.70765895488336,959.4824363524416,364.7008989515128,959.6237153621868,90,945.0183410008322,364.6867969273444,959.3324981007754,364.6786204990349,959.4797809913872,90,60741.884128750826,17506.56994164783,123961.61168665205,12254.097151497264,124054.16595150018,90,2274.7431410451104,951.7070397026146,2847.971736647305,950.8147193409968,2866.0183278479963,90,945.4250462576352,364.7379875562898,959.4856641007718,364.7222916679663,959.6250978583048,90,946.5286959919468,365.1199509995786,960.7407065771986,365.091515849781,960.967804952088,90,60859.297315076765,17511.965440513304,123963.51193439744,12257.545073708025,124055.8173336438,90,0.0812728348995068,0.0186361533060053,0.3154330929369028,0.0165628444397934,0.3154993112939886,90,5.4944676617112265,2.116587960812933,10.403368469264294,2.1074029928700244,10.408390330190327,90,27.24435936365652,7.137646716200052,90.52929767289108,6.3435694204408986,90.54830234137474,90,246.08473045499704,63.404888544495776,1089.0671898833498,63.39158053300344,1207.5220577419968,45.640409725263375,45.7433588912161,32.86457035099676,44.410910483178405,0.0223227862388687,llama
llama,12,90,1800,0,90,3039.50126075506,1410.828872174534,3374.264856395166,1410.4654085022048,4230.362917500315,90,1409.2500188304375,539.4669111408282,1430.2245073487256,539.4625940196736,1430.3559143229522,90,1408.9690059918212,539.4185922250472,1429.9357406758645,539.4129784981487,1430.216376495082,90,90281.88215573756,25903.645448126557,184778.23146392475,18134.751290504937,184902.72006750456,90,3396.826253168548,1414.175304774144,4238.087492761115,1412.9544623021502,4267.762522630801,90,1409.5918525004847,539.4944441796551,1430.2251431678117,539.4744737046794,1430.362454405094,90,1410.7758642770932,540.1410586229758,1431.829584404768,540.0629791984102,1432.4549100492732,90,90710.6689008222,25908.0081305714,184780.366210304,18138.626572905923,184903.95485313347,90,0.0544837572211361,0.0125543035795131,0.2116153698994301,0.0111120621524208,0.2116520218387142,90,3.6750312255478095,1.4202736173002488,6.974674110378026,1.416266720852024,6.98265122834105,90,18.33357576004194,4.808298270953527,60.73361116113645,4.255919804377178,60.74413026771099,90,367.08230761351297,94.51109350675252,1618.0751385952617,94.49472689299728,1799.845944494009,68.05548859780615,68.20076617711607,48.69174234759805,66.00882807936335,0.0149308252445918,llama
llama,16,90,1800,0,90,3255.446524744912,1509.8554523166968,3612.45820969416,1508.8805679988582,4533.291978514171,90,1507.1877277896708,580.1211349130682,1528.9445821658155,580.1011981450082,1529.2747885872063,90,1507.0420882475446,580.0713474505756,1528.5914768304792,580.062598499353,1528.797251492506,90,96833.12940500764,27847.68531804512,197331.60737378243,19492.197780506103,197423.2273880043,90,3632.389091504684,1513.008777984578,4527.14336404948,1512.0161709361128,4561.832912176033,90,1507.4675116191977,580.1497600124094,1528.9519370604528,580.143897116847,1529.2760294056886,90,1509.0182272935635,580.8678562552086,1530.7514147741313,580.7473536668113,1531.1637775652343,90,96916.37666938988,27851.33946850089,197333.34166719017,19495.881807834667,197424.95698126292,90,0.0510100148190168,0.0117022429124026,0.1978674894108027,0.0103801315600099,0.1978985868385518,90,3.42367917428706,1.3268629349553809,6.530718932496289,1.3220198197986026,6.543997744681215,90,17.107807498133624,4.481959035450216,56.78796946090039,3.975590387483797,56.796894422664366,90,392.0817696575068,101.07774683544268,1734.8942000549346,101.06186365199392,1926.7578531519976,72.78509551376129,72.9479673736983,52.1511096099646,70.79871662684074,0.0139096383969387,llama
qwen,0,90,1800,0,90,65.23052799821016,27.644773773135967,121.53989762591664,27.16228650388075,124.8945055049262,90,19.63616009673006,19.181968428816877,20.42011222358097,19.14607560320292,20.489330807121885,90,19.579495245125145,19.145648199992134,20.34724204677332,19.133217007038184,20.436742997844703,90,1292.448922748008,639.3123586007277,2700.2781563744065,631.7930235018139,2724.010345496936,90,72.14389207110798,28.68315055147832,123.2017600916879,28.316039751371136,126.6174190030142,90,19.7625231840838,19.207051057427204,20.443319037334778,19.177089532419654,20.50478306415516,90,19.90056625472789,19.357281376505853,21.009502863234957,19.316980995063204,21.5928426485334,90,1300.1395021765347,650.1793201559849,2702.2528713523207,632.4109599445364,2726.112068904331,90,3.4720917700806515,0.576140366810455,14.151310567927066,0.3980185518296692,14.376151471334722,90,259.90466415949817,50.71594512422301,488.46737252739626,50.0455277302614,489.6164876012907,90,1232.8047833283836,198.3825137035736,4075.577443562994,152.83912390259297,4140.3316237444,90,5.813413914496778,1.4132967431942234,38.96329589185327,1.3911929099995175,50.248914046998834,1.0,1.0,1.0,1.0,1.0,qwen
qwen,2,90,1800,0,90,844.21857225243,291.390941626014,1302.4215597506554,290.68496800755383,1303.518021493801,90,279.67213329766565,276.9695632478878,281.60021198239093,276.74074690308305,281.6462146191274,90,279.61899349975283,276.8735509758699,281.46695149553125,276.83947849436663,281.5029810008127,90,18412.96864299511,9056.846500851316,36910.996482497285,8978.911512997001,37030.85744900454,90,847.0205732606701,292.2945293704106,1304.003750922202,292.03153274356737,1305.0969901058124,90,280.3836040988649,277.04494330206785,283.03003271955305,277.01178033890955,283.48555237067967,90,280.7796619959845,277.96219939365983,282.6338466326706,277.7985335167614,283.3668334918912,90,18423.89411736658,9145.279376289654,36912.84769436621,8982.549494312116,37032.708289106085,90,0.246241352075166,0.0403300549915443,1.0291778684940216,0.027863459230454,1.037836553892682,90,18.30109890325461,3.5646089400486693,35.04470312626677,3.5623826514096737,35.0961213351796,90,87.64069896439293,13.90707508723806,296.40322612627824,10.699568344494349,298.8969275210924,90,82.13903931401728,19.43452888095053,556.7338697296019,19.270857173978584,717.7859660059912,14.242709975879576,14.281215628853952,12.942077860777,14.246573554214748,0.0704146613237521,qwen
qwen,4,90,1800,0,90,1646.0946902479918,493.07787279612967,2555.902832172069,452.2062079995521,2557.1200385020347,90,546.0106261238711,540.9219443170289,548.24453414135,540.403327209905,548.2983170323648,90,545.5161624959146,540.8103302463132,548.2249279761163,540.7885369932046,548.2395284998347,90,35947.1626634986,17553.018142348083,71983.4131563719,17217.479249498865,72146.76827600488,90,1764.1014730714232,559.5001495016913,2557.6674468259444,558.9686908570002,2558.998592743592,90,548.275728214586,541.1217669854938,552.5028024147398,540.9972257857847,553.2158005598186,90,547.5703914187761,542.2047028966335,549.5189140312505,541.9099678991188,550.8423694969679,90,35961.76780777532,17561.091589425523,71985.12090651486,17364.419248403283,72148.36941405083,90,0.1277176180166608,0.0206578346707547,0.531398985344071,0.0142469681966308,0.5328506598418694,90,9.385089781407716,1.823253584929448,17.950035117509927,1.822872500291394,18.00349879483595,90,44.90699814416686,7.11207083400538,153.04290777909245,5.470835787506244,153.4609900344584,90,157.9908703514957,37.636781102245735,1087.8760608372015,37.53396872199664,1403.8074433779984,27.806384926286903,27.86160499371075,25.23503550811605,27.813217242711342,0.0361097397453717,qwen
qwen,8,90,1800,0,90,3076.7971110008148,1032.9205833497326,4787.05023290222,837.4122665027244,4789.100830003008,90,1020.0798646025288,1012.2401098067012,1026.8217297798406,1010.8765896289812,1026.872253543313,90,1019.4099752498004,1012.0082262507822,1026.763506475129,1011.8711209997856,1026.8047709996608,90,66862.73842174979,33416.92247494941,134127.2766992728,32863.64585750016,134800.17429049985,90,3188.7998812748265,1035.0202478214396,4788.668983449388,841.3267106991043,4790.505350351668,90,1024.2999388690932,1012.4731708282362,1032.9761709361787,1012.2630924118206,1034.362531788593,90,1024.2661961737213,1014.1210132779996,1028.6547335674732,1013.8743603054536,1028.8503838522956,90,67111.92907744944,33426.338820599616,134129.62229976675,32869.82803980004,134801.7724498517,90,0.0675399484666653,0.0110264214735174,0.2825462706407634,0.0076077904906791,0.2850771155873685,90,5.020400393425152,0.9737338983574344,9.631167414654474,0.9736427930896072,9.650899061970737,90,24.03166861443062,3.7978261482764815,81.37332594453989,2.921391548420797,82.10220928916212,90,299.56421906549804,70.79160495894757,2037.7412416961947,70.15645559199766,2628.8841713639995,51.9490500982623,52.06518158345327,47.16805467349947,51.73337007360111,0.0193163151175472,qwen
qwen,12,90,1800,0,90,4519.748092501686,1290.3223944245838,7024.916326853418,1222.3621660086792,7027.367223490728,90,1499.2342639302829,1487.1591797832143,1508.504554561222,1462.7882469513063,1508.5588167578774,90,1498.292716249125,1487.0590184480534,1508.4075364989983,1486.973819002742,1508.4540850002668,90,98245.41572249656,48276.56014877721,197613.4678603281,47323.92039700062,198082.78045449697,90,4525.879506451747,1515.4703686194623,7026.6734812707,1225.1629472455534,7029.178283919464,90,1505.2081966760895,1487.537700448841,1518.4305456763643,1487.3767985980871,1520.1230514774404,90,1504.7487301759247,1489.4622726685338,1510.8059693264297,1489.1805803934403,1510.9357031426043,90,98265.3416772766,48287.8940451374,197615.44465073425,47328.47380839594,198085.48913510892,90,0.0465728410584347,0.0075047227234153,0.192320286036527,0.0051787140981814,0.1940986884490019,90,3.417131954888735,0.6628642772056406,6.53730053029466,0.662810164375659,6.5568504472920495,90,16.352537481850696,2.5852166271648347,55.3882423785198,1.988626213701661,55.90042227331256,90,433.1450700435089,104.00364728064451,2993.798782581789,103.0403665259946,3861.962568472998,76.35068447929109,76.52356189428154,69.28884728061226,76.01493103000689,0.0131476361378097,qwen
qwen,16,90,1800,0,90,4510.888454997257,1505.8302661505195,7028.205944073852,1504.954923002515,7107.303452503402,90,1490.4934655353936,1479.2001033314932,1511.6874691834694,1477.1555385968015,1511.9163384762712,90,1489.4731499953195,1478.794052023477,1511.2799746744713,1478.7405995011795,1511.4793839966296,90,98249.40359799984,48303.12935519991,198596.0029974496,47997.02168649992,199079.17419400477,90,4515.028200048982,1507.5463356272348,7029.940549031126,1506.3269191512518,7109.154005147138,90,1499.6628608104015,1479.5053759976745,1513.588492850166,1479.2343178976191,1514.1972424970816,90,1495.8393919059745,1481.3108013947567,1514.3841074721786,1480.851010948027,1514.8119616023905,90,98278.57760057086,48883.93819174109,198597.9824487825,48006.54473900003,199081.2371996428,90,0.0460593362423548,0.0075474571564982,0.1923015076569031,0.0052087989601361,0.1931160625326372,90,3.431280305874802,0.6666762798747186,6.504811949605038,0.6664502373012949,6.55016983665621,90,16.358978177825033,2.60019418001058,55.3828342051881,2.0001788006922694,55.61742600939952,90,438.5309039130007,104.00544555144953,2976.635603839645,103.56466333099524,3839.656733358999,75.90554661364776,76.07311278191224,69.15302686375664,76.01801654884878,0.013202072833018,qwen
