model,offload_gb,output_len,n_runs,ttft_n,ttft_median,ttft_p05,ttft_p95,ttft_min,ttft_max,tpot_n,tpot_median,tpot_p05,tpot_p95,tpot_min,tpot_max,itl_n,itl_median,itl_p05,itl_p95,itl_min,itl_max,e2el_n,e2el_median,e2el_p05,e2el_p95,e2el_min,e2el_max
llama,0,32,30,30,62.06777974966826,27.874339725440226,89.399875224899,27.623086998573854,89.79214650025824,30,20.699034612892234,19.460425033884672,22.55089914433484,19.458124112955584,22.62390545160264,30,20.647090500460763,19.449256351072105,22.514446598779614,19.444028999714646,22.532822998982738,30,697.8832134991535,631.6039894743881,788.6062676489018,631.1074209988874,790.063292000923
llama,0,64,30,30,63.50271875089675,28.143884249766412,90.02379375024248,27.90981950056448,90.2532695017726,30,20.695181380948007,19.479835226161775,22.564660715091573,19.47438289682886,22.58200104759973,30,20.673480501500308,19.478977024391497,22.525998524815805,19.47349650254182,22.53167249909893,30,1367.7243602505769,1255.5441899503421,1511.1970405750071,1255.2054975021747,1511.424148500737
llama,0,128,30,30,63.46113849940593,28.26107562423204,89.4137854258588,27.778425501310267,89.99063550072606,30,20.744034972439277,19.48617590118317,22.7112340358263,19.480857877950505,22.71752940159929,30,20.71814424925833,19.488270824513165,22.617799524687143,19.4864700006292,22.63059550023172,30,2699.0280895006435,2503.033522950591,2973.372026601828,2502.76988800033,2973.8847610005905
llama,2,32,30,30,577.482138749474,259.08198252618604,637.2081319741483,258.9924644998973,754.4801804979215,30,252.1866843871389,107.0198912717681,257.5032627540315,107.00088716135548,257.6098217096813,30,252.18700399818772,107.0128659996044,257.4374025736688,107.01004700240446,257.4838069995167,30,8443.537062999894,3576.7435247978933,8603.287054501016,3575.9751825025887,8606.516771498718
llama,2,64,30,30,579.0450912500091,258.4118360757202,695.5257232240907,258.280043501145,754.9970620020758,30,252.24658816665715,107.0318958789271,257.5545013420774,107.03100113494745,257.62858596822804,30,252.20284275201266,107.02301577493928,257.48431817391975,107.02208649672684,257.5258329998178,30,16558.155094498943,7001.497604850557,16847.499946899734,7001.4204180006345,16849.44619849557
llama,2,128,30,30,578.8448422499641,258.683597973868,623.2112276255066,257.90793299893267,754.2112035007449,30,252.29744190944515,107.03889274174556,257.6980267897688,107.03710431498192,257.7004938464698,30,252.23506999827805,107.02821192771808,257.57528997455665,107.02662000039707,257.59608049702365,30,32681.337160249317,13852.571866199833,33348.98121710066,13852.295826502086,33350.73017749892
llama,4,32,30,30,1074.3947365008353,489.7308689009151,1325.774324597477,489.2254159967706,1452.7932169985434,30,484.80721574190784,195.03248818791397,493.60104551294256,195.0173631451053,493.8327393064092,30,484.8339414984366,195.02692352198207,493.4313179745005,195.0206350011285,493.5002109959896,30,16235.212296998725,6535.596778725085,16453.157583175744,6535.289835497679,16460.745976997714
llama,4,64,30,30,1113.795863748237,490.0794381246669,1452.0539663999443,489.7678504967189,1453.3917285007192,30,484.83949915876906,195.04828391985478,493.46135853854304,195.04435434917843,493.5650453809348,30,484.8038477502996,195.03519002755638,493.3191450261802,195.03349249862367,493.426062999788,30,31800.899260751976,12778.320519377485,32242.173253801957,12777.972779502306,32245.99088149625
llama,4,128,30,30,1074.173140750645,490.3046669518517,1171.5290142477897,490.1965275057592,1172.1655985020334,30,484.89192619489063,195.05273605296162,493.5623767781675,195.049206161421,493.6222447559119,30,484.88979549983924,195.03500424980305,493.3949366766683,195.03259499833803,493.4430275025079,30,62734.805082251114,25262.48610784914,63832.55462717352,25262.05769450098,63842.78083299796
llama,8,32,30,30,2186.4041382505093,948.4206803812413,2829.7865576987533,948.3798680012114,2847.537491499679,30,945.0846747015256,364.70098373216797,959.3973730976651,364.7008989515128,959.5549961936006,30,944.991672753531,364.68301864297246,959.3161524728202,364.6786204990349,959.4797809913872,30,31636.86513374705,12254.264305152901,32038.19616727451,12254.097151497264,32248.636734002503
llama,8,64,30,30,2051.0687159985537,948.5131767767598,2320.803469379825,948.0418254970572,2829.338593503053,30,945.1825712181628,364.71563395113213,959.4361054988395,364.7047393888998,959.493086309637,30,945.0633509950421,364.691100829441,959.1430948261404,364.6865870032343,959.2991945028188,30,61969.22266149704,23925.748413648034,62635.41860317855,23925.50104649854,62638.06446349918
llama,8,128,30,30,2048.426157249196,948.7744681995537,2320.020123875292,948.4020214949852,2844.5599874976324,30,945.0905035865997,364.72128639452563,959.540066349019,364.7151707204547,959.6237153621868,30,945.1015679987904,364.6894606212299,959.3663283492788,364.6805194875924,959.4240725054988,30,122332.65527875119,47268.03073610391,124049.66128884807,47267.914299496624,124054.16595150018
llama,12,32,30,30,3041.0737020065426,1410.828872174534,3839.965954670331,1410.4654085022048,4230.362917500315,30,1409.2500188304375,539.4945185652168,1430.2162689093225,539.487454032379,1430.3559143229522,30,1408.9690059918212,539.4587992541346,1429.9809615280537,539.456294492993,1430.216376495082,30,47032.15886399994,18135.000773676806,47690.55472017135,18134.751290504937,48063.48516550497
llama,12,64,30,30,3038.760125746194,1410.794062401692,3373.827134764724,1410.5278284987437,4219.609976003994,30,1409.2114221786023,539.4679342670272,1430.162289340787,539.4664246826626,1430.3037640476962,30,1408.9815282495692,539.4198125024559,1429.9197732994799,539.4195880071493,1430.1375990035012,30,92145.37262600061,35397.75987899593,93352.36336396556,35396.753486005764,93362.51579048984
llama,12,128,30,30,3039.433037258277,1412.068508696393,3372.65190044709,1410.5087209973135,3374.724426510511,30,1409.1340307166133,539.463889893918,1430.2107118563458,539.4625940196736,1430.3096288425104,30,1409.07312874333,539.4166990507074,1429.8720045750085,539.4129784981487,1430.0543620047392,30,182075.71023299536,69924.21739362253,184889.1914497581,69922.43819400028,184902.72006750456
llama,16,32,30,30,3254.4145160063636,1509.0688412543386,3612.369633945491,1508.8805679988582,4533.291978514171,30,1507.2269524837707,580.107141693072,1528.9462669821773,580.1011981450082,1529.2656648065708,30,1507.1302867581835,580.068307754118,1528.5199569276303,580.062598499353,1528.6083615064854,30,50307.53998925502,19492.839950843336,50903.282197094086,19492.197780506103,51407.14428850333
llama,16,64,30,30,3256.098377991293,1510.038813301071,4105.616859473955,1509.9345364869805,4510.827146994416,30,1507.1877277896708,580.1251282870662,1528.9924262638367,580.1205244525114,1529.2747885872063,30,1507.0420882475446,580.0728981485008,1528.728843978024,580.0678739906289,1528.797251492506,30,98782.89261474129,38058.034840867185,99821.87830135372,38057.72257799981,99838.87826799764
llama,16,128,30,30,3257.129709752917,1509.8554523166968,3611.8413604046505,1509.4164830079535,4513.134861495928,30,1507.27003518698,580.1273801301099,1528.8531940156895,580.1218810315265,1528.9019909447866,30,1507.2022822423605,580.0731939474645,1527.9090222909872,580.0719859980745,1527.94934999838,30,195198.4667802535,75186.24973257247,197419.58521820413,75186.00623650127,197423.2273880043
qwen,0,32,30,30,65.47401950592757,27.883991125781908,121.9511263010645,27.16228650388075,124.8945055049262,30,19.63616009673006,19.20920225012167,20.301689009659555,19.180973596737587,20.33309664529365,30,19.553974500013283,19.145648199992138,20.274951030660304,19.13328150112648,20.3137849966879,30,670.8632127520104,632.0826940504048,751.0026751719124,631.7930235018139,753.544082006556
qwen,0,64,30,30,65.27303599796141,27.496368148786132,121.53251987801922,27.19970899488544,123.45904899848392,30,19.596697119032754,19.16216550637309,20.386424752752415,19.14607560320292,20.393325976328924,30,19.57713649608195,19.139163999352604,20.303779247115013,19.133217007038184,20.30980450217612,30,1292.448922748008,1255.386570225528,1405.2222494781743,1236.5410945058102,1408.0534360036836
qwen,0,128,30,30,65.19045025197556,27.836392596145743,120.9269160473923,27.613422498689037,123.69765100447694,30,19.617543624029736,19.200425529117464,20.483531503578696,19.18318433469156,20.489330807121885,30,19.605963494541356,19.192718478734605,20.425943070586072,19.17185800266452,20.436742997844703,30,2541.6688914992847,2497.0850569301547,2722.852432023137,2486.2730160020874,2724.010345496936
qwen,2,32,30,30,844.1247890004888,291.0353352530365,1301.283796869393,290.68496800755383,1301.346135485801,30,279.6668297740971,277.0371910485283,281.52590151704874,276.74074690308305,281.59517033923146,30,279.5298107484996,276.8768419693515,281.37653959565796,276.87072148546576,281.5029810008127,30,9434.837635002625,8979.523066900947,10018.395971614516,8978.911512997001,10022.617178998187
qwen,2,64,30,30,898.5228512538015,291.5654384807567,1302.8808976072469,291.3030314957723,1303.202256502118,30,279.67715947630086,276.98612892552137,281.60444261101514,276.9610098013858,281.6462146191274,30,279.5798525039572,276.8484116459149,281.47996841871645,276.83947849436663,281.4881080121268,30,18412.96864299511,17949.405781174937,19023.022825036605,17948.88728549995,19026.025218496216
qwen,2,128,30,30,844.152073499572,291.39094162601396,1301.6745487191656,290.9456869965652,1303.518021493801,30,279.6940661239319,276.96054398699675,281.6078694679134,276.93380131894963,281.63819424805735,30,279.64245424664114,276.8888557802711,281.45663411996793,276.8802105128998,281.4735900028609,30,36092.6219025132,35888.27229199305,37027.18566728944,35887.03031450859,37030.85744900454
qwen,4,32,30,30,1646.0070209941478,466.3037347731006,2555.1732574473135,453.2536919941776,2557.1200385020347,30,545.9942366934199,540.8456761774305,548.2479114525984,540.403327209905,548.2983170323648,30,545.5107019915886,540.7997448775859,548.2235405754182,540.7903404993704,548.2395284998347,30,18428.827509495022,17249.725352446694,19537.501715729013,17217.479249498865,19546.75669950666
qwen,4,64,30,30,1761.2048612500075,557.5708050957473,2555.9838994198803,506.8508264957927,2556.973924998601,30,546.0712396825473,541.0470253034931,548.2528532788979,540.921252618968,548.2850098889597,30,545.6336622519302,540.8419480183511,548.230800076999,540.79703050229,548.239323994494,30,35947.1626634986,35096.26595586851,37072.13119657354,34583.42902249569,37077.42040650192
qwen,4,128,30,30,1760.0799990032106,500.3524921768985,2555.8068086997087,452.2062079995521,2556.4491380064283,30,546.0600020492489,540.8822183234056,548.2217343306994,540.8404652322836,548.2404233582316,30,545.6186467490625,540.8276991205639,548.2000942007289,540.7885369932046,548.2241279969458,30,70690.59480874785,69442.91962162024,72142.48455097259,69139.73441049893,72146.76827600488
qwen,8,32,30,30,3299.936102249376,1032.9392133000738,4786.3345456997195,1032.4739239999872,4787.269319003826,30,1020.040025927477,1011.7568981056871,1026.8217297798406,1010.8765896289812,1026.8428423225869,30,1019.346395996763,1012.0495775498057,1026.7553747250872,1011.8711209997856,1026.7702255000586,30,34759.72889525019,32864.2289716001,36516.396467524646,32863.64585750016,36523.41387599881
qwen,8,64,30,30,3075.767180001094,1032.617867624231,4787.606154475361,837.4122665027244,4788.807957498648,30,1020.1706104563773,1012.3546994043603,1026.8015109789646,1012.1478156984338,1026.835169634935,30,1019.4842712517129,1012.0184729759784,1026.7632259000266,1011.9953405010164,1026.7685105000055,30,66862.73842174979,65719.50826729936,69276.83078605132,64603.23098650042,69283.19529800137
qwen,8,128,30,30,3076.439505250164,1033.3186409002792,4786.675093025406,840.323628995975,4789.100830003008,30,1020.1443886673203,1012.2401098067011,1026.8297184594483,1012.0956861614188,1026.872253543313,30,1019.4939927496307,1012.0079223748688,1026.7612776501664,1011.9887645014388,1026.8047709996608,30,132014.0136792488,130921.6169200474,134774.66072704774,129376.46514399968,134800.17429049985
qwen,12,32,30,30,4519.375501000468,1434.8474070797238,7025.865591656475,1222.4056409977493,7027.367223490728,30,1499.2097340162277,1487.3574696823903,1508.491934567745,1462.7882469513063,1508.5588167578774,30,1498.2350770005723,1487.0712494488544,1508.3676821246627,1486.973819002742,1508.378290993278,30,50663.39134474401,47839.8763438312,53654.93333624763,47323.92039700062,53659.8419695074
qwen,12,64,30,30,4516.860250994796,1354.2488248218433,7023.34223634316,1223.275532000116,7024.16171549703,30,1499.2199059285217,1487.1448579805603,1508.4961582606034,1486.8558654841129,1508.517427293728,30,1498.3868270064704,1487.069985524795,1508.3962979970238,1487.0080340042475,1508.4259794966783,30,98245.41572249655,95649.22823267552,101788.20851705459,94911.20222099562,101792.62804449536
qwen,12,128,30,30,4851.274558754085,1354.9760548721679,7025.471553474199,1222.3621660086792,7027.161119491211,30,1499.315489913446,1487.319398901246,1508.5140413382474,1487.144630196767,1508.552777153583,30,1498.536530751153,1487.055030999909,1508.429311276268,1487.0151484938106,1508.4540850002668,30,194204.69987099932,191092.1203129983,198073.88395329835,190093.8249155006,198082.78045449697
qwen,16,32,30,30,4829.38504950107,1505.8032403247807,6938.178054619493,1505.1565955000117,6938.553980493452,30,1490.4065738064087,1479.981146247572,1511.6869694969455,1477.1555385968015,1511.7826176290455,30,1489.444754748547,1478.8427873991168,1511.411396447511,1478.790602999652,1511.4596044950304,30,50807.859912498316,47999.08804407389,53278.747263753394,47997.02168649992,53282.26154699223
qwen,16,64,30,30,4829.141952748614,1506.2817794995226,6940.321336525449,1505.8605199997146,6942.387735500233,30,1490.5631410119463,1479.378399286517,1511.7238942701658,1479.313334119012,1511.9163384762712,30,1489.8663069980103,1478.8399822728024,1511.237815547065,1478.781050001999,1511.4793839966296,30,98249.40359799983,95993.17610067491,101288.50151972327,95991.47362049916,101304.56733049505
qwen,16,128,30,30,4510.820345996763,1505.729157600308,7106.258375623656,1504.954923002515,7107.303452503402,30,1493.0439712578466,1479.1103046281476,1511.6307946641275,1479.0741211889858,1511.685595188934,30,1492.8163537479122,1478.7819085513547,1511.1933636737376,1478.7405995011795,1511.3096155037056,30,193156.26755774795,191978.96678597608,199076.5655113322,191970.7014449996,199079.17419400477
